Name,Marketcap,Country,Share price,Change (1 day),Change (1 year),Categories
Datadog,$37.39 B,USA,$113.83,-1.02%,53.78%,"👨‍💻 Software, 🖥️ Internet, 👩‍💻 Tech"
BCE,$37.04 B,Canada,$40.61,-0.37%,-12.97%,"📰 Media/Press, 📡 Telecommunication"
Lloyds Banking Group,$36.70 B,UK,$2.31,1.32%,3.59%,"🏦 Banks, 💳 Financial services"
Murata Manufacturing (Murata Seisakusho),$36.71 B,Japan,$19.43,-1.61%,-63.27%,"👩‍💻 Tech, 🔌 Electronics, 💻 Tech Hardware"
Grupo México,$36.07 B,Mexico,$4.61,0.55%,15.54%,"⛏️ Mining, 🏙 Conglomerate"
Electronic Arts,$36.88 B,USA,$137.14,1.17%,8.75%,"👩‍💻 Tech, 🎮 Video games, Entertainment, 🕹️ Esports"
Allstate,$36.45 B,USA,$139.32,0.22%,7.14%,🏦 Insurance
Manulife Financial,$36.24 B,Canada,$19.94,0.45%,12.53%,"🏦 Insurance, 💳 Financial services"
Ferguson,$36.75 B,UK,$180.65,1.11%,43.28%,N/A
Ametek,$36.27 B,USA,$157.16,0.80%,11.65%,"🔌 Electronics, 🏭 Manufacturing"
Prudential Financial,$36.41 B,USA,$100.87,1.21%,-0.72%,🏦 Insurance
Dow,$35.71 B,USA,$50.92,-0.29%,0.71%,"🧪 Chemicals, 🇺🇸 Dow jones"
MPLX,$36.12 B,USA,$36.08,0.59%,13.64%,"🛢 Oil&Gas, ⚡ Energy"
Ameriprise Financial,$36.18 B,USA,$357.58,1.37%,10.68%,💳 Financial services
Kühne + Nagel,$35.79 B,Switzerland,$299.28,0.77%,31.19%,🚚 Transportation
Otis Worldwide,$35.81 B,USA,$87.50,0.97%,9.73%,🏭 Manufacturing
Givaudan,$35.75 B,Switzerland,"$3,875",0.59%,21.56%,"Flavors & Fragrances, 💄 Cosmetics and Beauty"
Givaudan,$35.75 B,Switzerland,"$3,875",0.59%,21.56%,"Flavors & Fragrances, 💄 Cosmetics and Beauty"
Waste Connections,$35.63 B,USA,$138.33,-0.04%,-1.57%,♻️ Waste & Recycling
Fastenal,$35.60 B,USA,$62.29,-0.11%,21.73%,N/A
Sun Pharmaceutical,$35.57 B,India,$14.83,-0.28%,24.41%,"💊 Pharmaceuticals, 🧬 Biotech"
Deutsche Börse,$35.79 B,Germany,$194.80,1.23%,7.79%,"💳 Financial services, 🏛 Stock exchanges, 🇩🇪 DAX, 🏛 Stock/Crypto exchanges"
Constellation Energy,$35.51 B,USA,$111.21,0.62%,21.66%,"🔋 Electricity, 🚰 Utility companies, ⚡ Energy"
Alcon,$35.44 B,Switzerland,$71.99,0.13%,4.74%,Medical devices
Uniper,$38.24 B,Germany,$4.22,0.00%,22.32%,"🔋 Electricity, ⚡ Energy"
Li Auto,$34.94 B,China,$34.87,-1.77%,44.69%,"🚗 Automakers, 🔋 Electric Vehicles"
Gartner,$35.61 B,USA,$452.00,1.35%,30.48%,💼 Professional services
Cognizant Technology Solutions,$35.26 B,USA,$70.33,-0.13%,18.60%,"💼 Professional services, 🖥️ IT services"
Experian,$35.09 B,Ireland,$36.97,0.00%,7.29%,💳 Financial services
E.ON,$35.17 B,Germany,$13.47,0.69%,40.31%,"🔋 Electricity, 🚰 Utility companies, 🇩🇪 DAX, ⚡ Energy"
7-Eleven,$35.07 B,Japan,$39.71,-0.19%,-1.54%,"🛍️ Retail, 🛒 Supermarket Chains"
Yum! Brands,$34.85 B,USA,$124.34,0.06%,-4.24%,🍔 Restaurant chains
Fidelity National Information Services,$34.92 B,USA,$58.94,0.03%,-15.55%,"💳 Financial services, 👩‍💻 Tech"
Partners Group,$34.73 B,Switzerland,"$1,339",0.95%,46.30%,💰 Investment
Interactive Brokers,$34.65 B,USA,$83.15,2.90%,8.99%,"💳 Financial services, 🖥️ Internet"
Capgemini,$34.65 B,France,$207.37,0.87%,17.16%,"💼 Professional services, 🇫🇷 CAC 40, 🖥️ IT services"
Biogen,$34.67 B,USA,$239.29,0.07%,-17.23%,"💊 Pharmaceuticals, 🧬 Biotech"
UOB,$34.38 B,Singapore,$20.55,1.43%,-9.39%,"🏦 Banks, 💳 Financial services"
PPG Industries,$33.95 B,USA,$143.98,-0.69%,10.45%,"🧪 Chemicals, 🎨 Paint & Coating"
Bank Mandiri,$34.32 B,Indonesia,$0.37,-0.87%,15.63%,"🏦 Banks, 💳 Financial services"
BTG Pactual,$32.86 B,Brazil,$3.39,5.10%,41.25%,💳 Financial services
Exor,$34.66 B,Netherlands,$99.74,0.59%,28.76%,💰 Investment
Las Vegas Sands,$34.94 B,USA,$46.39,3.43%,-3.97%,"🏨 Hotels, 🎰 Gambling, Entertainment, 🌴 Travel"
The Trade Desk,$34.62 B,USA,$70.63,2.69%,45.60%,"👨‍💻 Software, 🖥️ Internet, 👩‍💻 Tech"
Compagnie de Saint-Gobain,$33.58 B,France,$66.76,1.06%,40.46%,🇫🇷 CAC 40
Coinbase,$35.07 B,USA,$146.62,7.66%,242.49%,"💳 Financial services, 🖥️ Internet, 👩‍💻 Tech, ₿ Bitcoin, 🏛 Stock/Crypto exchanges"
CoStar Group,$33.64 B,USA,$82.39,-0.23%,0.00%,"🏠 Real estate, 👩‍💻 Tech"
Wolters Kluwer,$33.79 B,Netherlands,$140.08,0.23%,28.24%,"👨‍💻 Software, 👩‍💻 Tech"
Xcel Energy,$33.61 B,USA,$60.91,-1.04%,-12.75%,N/A
Bayer,$33.81 B,Germany,$34.42,0.20%,-37.91%,"💊 Pharmaceuticals, 🧪 Chemicals, 🇩🇪 DAX, 🧬 Biotech"
Verisk Analytics,$33.77 B,USA,$232.92,-0.36%,27.85%,💼 Professional services
Anglo American,$38.91 B,UK,$22.69,-18.97%,-43.68%,⛏️ Mining
Ares Management,$33.98 B,USA,$110.64,2.16%,57.70%,"💳 Financial services, Asset Management"
United Rentals,$33.55 B,USA,$495.06,2.28%,36.89%,Rental & Leasing Services
Wanhua Chemical,$33.39 B,China,$10.64,0.28%,-19.76%,🧪 Chemicals
Naspers,$32.89 B,South Africa,$35.61,-1.36%,12.33%,"📰 Media/Press, 🖥️ Internet, Entertainment"
Kuwait Finance House,$33.27 B,eu Kuwait,"$2,278",0.57%,"90,289.68%","🏦 Banks, 💳 Financial services"
NTPC Limited,$33.18 B,India,$3.42,0.44%,65.22%,"🔋 Electricity, 🚰 Utility companies, ⚡ Energy"
DSV,$32.75 B,Denmark,$156.16,-0.99%,2.76%,🚚 Transportation
ON Semiconductor,$32.79 B,USA,$76.14,0.40%,5.52%,"📟 Semiconductors, 👩‍💻 Tech, 🔌 Electronics"
Hyundai,$33.27 B,South Korea,$40.51,0.00%,33.92%,"🚗 Automakers, 🏭 Manufacturing"
Verbund AG,$32.71 B,Austria,$93.78,1.22%,7.41%,"🔋 Electricity, 🚰 Utility companies, ⚡ Energy"
Cummins,$32.68 B,USA,$230.58,-0.07%,-5.34%,"⚙️ Machinery manufacturing, 🏭 Manufacturing"
Mobileye,$32.41 B,Israel,$40.21,-0.02%,27.29%,"👨‍💻 Software, 👩‍💻 Tech, 🤖 Autonomous driving, 🦾 AI"
RWE,$32.47 B,Germany,$43.65,-0.15%,-0.82%,"🔋 Electricity, 🇩🇪 DAX, ⚡ Energy"
Bajaj Finserv,$32.65 B,India,$20.52,0.36%,4.27%,💳 Financial services
Swiss Re,$32.64 B,Switzerland,$112.95,0.22%,22.87%,🏦 Insurance
Baker Hughes,$32.66 B,USA,$32.24,1.61%,14.81%,"🛢 Oil&Gas, ⚡ Energy"
UltraTech Cement,$32.54 B,India,$112.93,0.63%,29.39%,"Cement, 🧱 Building materials"
Beiersdorf,$32.43 B,Germany,$143.00,0.49%,27.36%,"🛍 Consumer goods, 🇩🇪 DAX"
Kroger,$32.06 B,USA,$44.58,-0.49%,-6.07%,"🛍️ Retail, 🛒 Supermarket Chains"
Restaurant Brands International,$32.01 B,Canada,$71.91,-1.13%,7.18%,"🍔 Restaurant chains, 🍴 Food"
Rockwell Automation,$31.93 B,USA,$278.53,0.23%,8.31%,N/A
CITIC Bank,$32.01 B,China,$0.74,0.57%,1.37%,"🏦 Banks, 💳 Financial services"
East Money Information,$31.80 B,China,$2.01,-0.62%,-29.97%,"💳 Financial services, 🖥️ Internet"
Orange,$31.91 B,France,$11.95,-0.42%,22.56%,"📡 Telecommunication, 🇫🇷 CAC 40"
DMart,$31.77 B,India,$48.84,-1.09%,-0.49%,🛍️ Retail
Consolidated Edison,$31.60 B,USA,$91.55,-0.96%,-6.19%,"🔋 Electricity, ⚡ Energy"
Generali,$31.85 B,Italy,$20.66,0.13%,14.27%,🏦 Insurance
Corteva,$31.81 B,USA,$45.15,1.46%,-29.17%,"🧪 Chemicals, 🚜 Agriculture"
VICI Properties,$31.56 B,USA,$30.51,0.26%,-9.41%,"🏠 Real estate, 💰 Investment, 🏘️ REITs"
Banco do Brasil,$31.54 B,Brazil,$11.05,1.08%,64.19%,"🏦 Banks, 💳 Financial services"
SMC corp,$31.46 B,Japan,$487.88,-2.70%,7.82%,N/A
Tata Motors,$31.40 B,India,$8.57,-1.03%,69.03%,🚗 Automakers
Halliburton,$31.26 B,USA,$34.93,1.48%,0.17%,"🛢 Oil&Gas, ⚡ Energy"
Nasdaq,$31.13 B,USA,$53.97,-0.30%,-15.92%,"💳 Financial services, 🏛 Stock exchanges, 🏛 Stock/Crypto exchanges"
Global Payments,$31.28 B,USA,$120.16,0.24%,21.46%,"💳 Financial services, 👩‍💻 Tech"
Amadeus IT Group,$31.30 B,Spain,$70.75,1.96%,35.54%,"👨‍💻 Software, 👩‍💻 Tech, 🌴 Travel"
CaixaBank,$31.22 B,Spain,$4.22,-0.66%,21.26%,"🏦 Banks, 💳 Financial services"
WuXi AppTec,$31.46 B,China,$10.39,-0.61%,2.36%,"💊 Pharmaceuticals, Medical devices, 🧬 Biotech"
Thales,$31.10 B,France,$149.96,2.55%,16.20%,"🔫 Defense contractors, 🇫🇷 CAC 40"
Moderna,$30.62 B,USA,$80.32,0.46%,-56.51%,"💊 Pharmaceuticals, 🧬 Biotech, 🧬 mRNA therapeutics"
Prudential,$30.79 B,UK,$22.37,1.27%,-13.73%,🏦 Insurance
PSEG,$31.17 B,USA,$62.57,0.24%,4.28%,"🔋 Electricity, ⚡ Energy"
Rolls-Royce Holdings,$30.65 B,UK,$3.64,1.08%,225.00%,"🚀 Aerospace, 🏭 Manufacturing"
Luxshare Precision,$30.82 B,China,$4.31,3.28%,-5.07%,N/A
GE HealthCare Technologies,$31.19 B,USA,$68.52,1.68%,14.20%,"Medical equipment, 🏭 Manufacturing"
Henkel,$30.71 B,Germany,$78.50,-0.27%,10.63%,"🧪 Chemicals, 🛍 Consumer goods, 🇩🇪 DAX"
Royal Caribbean,$30.86 B,USA,$120.47,0.82%,111.02%,"🌴 Travel, 🛳 Cruise Lines"
Dupont De Nemours,$30.48 B,USA,$70.89,0.24%,1.49%,🧪 Chemicals
Muyuan Foods,$30.59 B,China,$5.60,-1.91%,-19.77%,🍴 Food
LyondellBasell,$30.02 B,USA,$92.58,0.43%,13.48%,🧪 Chemicals
Cenovus Energy,$30.67 B,Canada,$16.29,1.43%,-9.60%,"🛢 Oil&Gas, ⚡ Energy"
Imperial Oil,$30.73 B,Canada,$55.37,3.03%,6.62%,"🛢 Oil&Gas, ⚡ Energy"
Extra Space Storage,$30.30 B,USA,$138.68,1.15%,-11.93%,🏠 Real estate
SMIC,$30.22 B,China,$2.63,-0.96%,24.06%,"📟 Semiconductors, 👩‍💻 Tech"
Swisscom,$30.09 B,Switzerland,$580.97,-0.16%,7.24%,📡 Telecommunication
WEG ON,$29.50 B,Brazil,$7.03,-2.01%,-1.68%,N/A
Sun Life Financial,$30.06 B,Canada,$51.45,0.76%,11.46%,"🏦 Insurance, 💳 Financial services"
Great-West Lifeco,$30.09 B,Canada,$32.32,0.34%,46.05%,"🏦 Insurance, 💳 Financial services"
Kuaishou Technology,$29.96 B,China,$6.90,-0.55%,-21.77%,"🖥️ Internet, 👩‍💻 Tech"
Barrick Gold,$29.47 B,Canada,$16.79,-2.50%,-0.06%,"⛏️ Mining, ⛏️ Gold mining"
Zscaler,$29.48 B,USA,$198.80,-0.62%,66.32%,"👨‍💻 Software, 👩‍💻 Tech, 🔒 IT security"
Japan Post Holdings,$29.70 B,Japan,$9.04,1.12%,18.32%,📦 Courier
Chunghwa Telecom,$29.77 B,Taiwan,$38.03,-0.45%,5.00%,📡 Telecommunication
Ingersoll Rand,$29.67 B,Ireland,$73.31,1.05%,37.65%,N/A
Oil & Natural Gas,$29.57 B,India,$2.35,-1.48%,35.84%,"🛢 Oil&Gas, ⚡ Energy"
Arch Capital,$29.59 B,Bermuda,$79.30,1.23%,30.94%,🏦 Insurance
Adani Green Energy,$29.46 B,India,$18.60,-4.55%,-25.48%,"🔋 Electricity, 🌞 Renewable energy, ⚡ Energy"
Neste,$29.19 B,Finland,$38.01,0.83%,-21.37%,"🛢 Oil&Gas, 👷 Engineering, ⚡ Energy"
Naturgy,$29.41 B,Spain,$30.35,0.79%,10.08%,N/A
Telstra,$29.19 B,Australia,$2.53,0.00%,-5.60%,📡 Telecommunication
Coca-Cola European Partners,$29.40 B,UK,$63.41,-0.95%,19.35%,🥤 Beverages
Jardine Matheson,$29.16 B,Hong Kong,$40.45,0.62%,-17.87%,"💰 Investment, 🏙 Conglomerate"
HP,$29.11 B,USA,$29.46,0.17%,3.44%,"👩‍💻 Tech, 🔌 Electronics, 💻 Tech Hardware"
DNB,$29.11 B,Norway,$19.15,-1.69%,6.09%,💳 Financial services
Goodman Group,$28.99 B,Australia,$15.27,-0.47%,24.55%,"🏠 Real estate, 💰 Investment, 🏘️ REITs"
GlobalFoundries,$29.04 B,USA,$52.50,-0.49%,-15.89%,"📟 Semiconductors, 👩‍💻 Tech, 💻 Tech Hardware"
Renesas Electronics,$29.08 B,Japan,$16.48,1.04%,76.26%,"📟 Semiconductors, 👩‍💻 Tech, 🔌 Electronics, 💻 Tech Hardware"
Copel,$28.64 B,Brazil,$9.60,-0.10%,32.96%,"🔋 Electricity, 🚰 Utility companies, ⚡ Energy"
PTT PCL,$29.08 B,Thailand,$1.02,0.70%,9.68%,"🛢 Oil&Gas, ⚡ Energy"
Singtel,$28.88 B,Singapore,$1.75,0.86%,-10.71%,📡 Telecommunication
Dollar General,$27.92 B,USA,$127.22,-3.84%,-48.85%,🛍️ Retail
Woolworths Group,$28.75 B,Australia,$23.54,-0.22%,1.99%,"🛍️ Retail, 🛒 Supermarket Chains"
Loblaw Companies,$28.88 B,Canada,$91.30,0.54%,-0.15%,"🛍️ Retail, 🛒 Supermarket Chains"
Chocoladefabriken Lindt & Sprüngli,$28.89 B,Switzerland,"$12,428",1.78%,23.14%,🍴 Food
Martin Marietta,$29.01 B,USA,$469.39,0.87%,31.22%,🧱 Building materials
Quanta Services,$28.94 B,USA,$199.25,2.51%,32.56%,👷 Engineering
3i Group,$28.72 B,UK,$29.51,1.21%,81.71%,💰 Investment
Assa Abloy,$28.92 B,Sweden,$26.28,0.03%,17.43%,N/A
Nestlé India,$28.67 B,India,$297.40,-0.74%,23.52%,🍴 Food
Sun Hung Kai Properties,$28.65 B,Hong Kong,$9.89,-0.32%,-21.57%,🏠 Real estate
Cheniere Energy,$41.98 B,USA,$176.21,2.55%,8.04%,N/A
Vulcan Materials,$28.70 B,USA,$216.03,0.87%,18.17%,🧱 Building materials
Delta Electronics (Thailand),$28.77 B,Thailand,$2.31,6.58%,18.46%,"👩‍💻 Tech, 🔌 Electronics, 🏭 Manufacturing, 💻 Tech Hardware"
Flutter Entertainment,$28.07 B,Ireland,$75.01,1.46%,8.93%,"🎰 Gambling, Entertainment"
Hannover Rück,$28.45 B,Germany,$235.92,-0.36%,20.84%,"🏦 Insurance, 🇩🇪 DAX"
Mitsubishi Electric,$28.41 B,Japan,$13.55,-1.19%,39.98%,"🔌 Electronics, 🏭 Manufacturing"
CDW Corporation,$28.55 B,USA,$213.19,0.29%,14.04%,🛍️ Retail
Bridgestone,$28.36 B,Japan,$41.44,-2.88%,12.92%,Tires
Equifax,$28.14 B,USA,$228.38,1.84%,15.30%,💳 Financial services
Devon Energy,$28.24 B,USA,$44.09,1.45%,-30.57%,"🛢 Oil&Gas, ⚡ Energy"
Foshan Haitian Flavouring and Food,$28.21 B,China,$5.07,-0.11%,-46.97%,🍴 Food
Daimler Truck,$28.27 B,Germany,$34.61,0.91%,8.33%,"🇩🇪 DAX, 🏭 Manufacturing, 🚑 Specialty Vehicles"
Ryanair,$28.46 B,Ireland,$124.90,-0.99%,64.30%,"✈️ Airlines, 🌴 Travel, 🚚 Transportation"
S.F. Express,$28.14 B,China,$5.75,1.90%,-30.05%,📦 Courier
Fujitsu,$28.16 B,Japan,$149.47,0.14%,11.85%,"💼 Professional services, 🖥️ IT services"
Ahold Delhaize,$28.08 B,Netherlands,$29.44,0.72%,-1.47%,"🛍️ Retail, 🍴 Food, 🛒 Supermarket Chains"
Nornickel,$27.93 B,Russia,$180.54,-1.24%,N/A,⛏️ Mining
EQT,$28.55 B,Sweden,$23.08,-2.44%,1.18%,💰 Investment
Veeva Systems,$27.74 B,USA,$172.71,-0.14%,-0.18%,"👨‍💻 Software, 👩‍💻 Tech"
Lonza,$27.93 B,Switzerland,$376.04,0.21%,-22.63%,"💊 Pharmaceuticals, 🧬 Biotech"
Ashtead,$27.72 B,UK,$63.35,3.01%,5.57%,Rental & Leasing Services
China State Construction Engineering,$27.85 B,China,$0.66,0.00%,-22.35%,"🏗 Construction, 👷 Engineering"
FICO,$28.03 B,USA,"$1,134",1.46%,81.51%,"👨‍💻 Software, 👩‍💻 Tech"
Symbotic,$28.01 B,USA,$50.33,4.75%,327.25%,"👩‍💻 Tech, 🤖 Robotics"
Coupang,$28.06 B,South Korea,$15.70,2.21%,-13.50%,"🛒 E-Commerce, 🛍️ Retail, 🖥️ Internet, 👩‍💻 Tech"
Hexagon,$27.91 B,Sweden,$10.46,0.00%,-8.57%,N/A
Bank of China (Hong Kong),$27.69 B,Hong Kong,$2.62,-0.49%,-18.89%,"🏦 Banks, 💳 Financial services"
Dollar Tree,$27.10 B,USA,$124.41,-1.84%,-13.90%,🛍️ Retail
Monolithic Power Systems,$27.58 B,USA,$575.73,1.27%,49.40%,"📟 Semiconductors, 👩‍💻 Tech, 🔌 Electronics, 💻 Tech Hardware"
Barclays,$27.77 B,UK,$7.34,2.51%,-5.29%,"🏦 Banks, 💳 Financial services"
LG Chem,$27.49 B,South Korea,$364.50,2.13%,-28.51%,🧪 Chemicals
Intact Financial,$27.59 B,Canada,$154.74,0.34%,3.65%,🏦 Insurance
China Pacific Insurance,$27.48 B,China,$3.22,-0.94%,-10.31%,🏦 Insurance
Shanghai Pudong Development Bank,$27.32 B,China,$0.93,0.91%,-12.26%,"🏦 Banks, 💳 Financial services"
Vestas Wind Systems,$27.54 B,Denmark,$27.29,0.76%,1.07%,"🔋 Electricity, 🌞 Renewable energy, ⚡ Energy"
POSCO,$27.26 B,South Korea,$89.85,4.10%,64.38%,"🔩 Steel producers, 🔩 Steel industry"
H&M,$26.88 B,Sweden,$16.62,1.95%,48.00%,"👚 Clothing, 🛍️ Retail"
Cellnex Telecom,$27.23 B,Spain,$38.60,-0.50%,12.54%,📡 Telecommunication
Warner Bros. Discovery,$27.60 B,USA,$11.47,6.01%,6.60%,"📰 Media/Press, Entertainment"
Argenx,$27.00 B,Netherlands,$453.48,-0.94%,16.42%,"💊 Pharmaceuticals, 🧬 Biotech"
The People's Insurance Company (PICC),$27.09 B,China,$0.69,-0.61%,-11.54%,🏦 Insurance
Nutrien,$26.91 B,Canada,$54.42,0.26%,-28.75%,"⛏️ Mining, 🌱 Fertilizer companies"
MongoDB,$27.47 B,USA,$381.79,-0.64%,96.36%,"👨‍💻 Software, 👩‍💻 Tech"
Telus,$26.85 B,Canada,$18.46,-1.14%,-10.86%,📡 Telecommunication
Banorte,$27.40 B,Mexico,$9.50,1.39%,27.01%,💳 Financial services
SBA Communications,$26.34 B,USA,$244.18,-2.76%,-15.59%,"🏠 Real estate, 💰 Investment, 📡 Telecommunication, 🏘️ REITs, 🛣️ Infrastructure"
Transurban,$26.74 B,Australia,$8.66,0.15%,-7.68%,"🛣 Toll Road Operators, 🛣️ Infrastructure"
Diamondback Energy,$26.62 B,USA,$148.73,0.77%,11.93%,"🛢 Oil&Gas, ⚡ Energy"
CITIC limited,$26.67 B,China,$0.92,0.42%,-7.07%,N/A
Horizon Therapeutics,$26.63 B,Ireland,$116.30,0.00%,20.01%,💊 Pharmaceuticals
Anta Sports,$26.62 B,China,$9.40,-0.88%,-24.74%,🎾 Sports goods
Legrand,$26.62 B,France,$101.32,2.04%,23.68%,"🔌 Electronics, 🇫🇷 CAC 40, 🏭 Manufacturing"
QNB Finansbank,$26.65 B,Turkey,$7.96,4.31%,204.98%,"🏦 Banks, 💳 Financial services"
Aena,$26.46 B,Spain,$176.45,0.68%,34.11%,"🛫 Airports, 🛣️ Infrastructure"
Skandinaviska Enskilda Banken,$26.71 B,Sweden,$12.76,0.34%,12.82%,"🏦 Banks, 💳 Financial services"
WEC Energy Group,$26.51 B,USA,$84.07,-1.09%,-12.12%,"🔋 Electricity, 🚰 Utility companies, ⚡ Energy"
Adani Ports & SEZ,$26.50 B,India,$12.27,-1.61%,12.98%,⚓ Ports
Brown Forman,$26.48 B,USA,$56.78,0.78%,-16.35%,"🍷 Alcoholic beverages, 🥤 Beverages"
Take 2 Interactive,$26.41 B,USA,$155.32,0.72%,54.10%,"👩‍💻 Tech, 🎮 Video games, Entertainment, 🕹️ Esports"
Wipro,$26.40 B,India,$5.01,0.60%,1.62%,"💼 Professional services, 🖥️ IT services"
Chandra Asri Petrochemical,$26.23 B,Indonesia,$0.30,8.05%,100.00%,"🛢 Oil&Gas, ⚡ Energy"
Fubon Financial,$26.17 B,Taiwan,$2.01,0.00%,8.06%,"🏦 Banks, 💳 Financial services"
Cardinal Health,$26.33 B,USA,$106.83,0.42%,32.25%,⚕️ Healthcare
Klabin,$26.10 B,Brazil,$4.21,0.48%,7.95%,📄 Pulp and paper
Haier Smart Home,$26.09 B,China,$2.90,-0.24%,-17.85%,🏠 Home & Kitchen Appliances
Delta Air Lines,$25.96 B,USA,$40.35,0.02%,20.34%,"✈️ Airlines, 🌴 Travel, 🚚 Transportation"
Cloudflare,$26.02 B,USA,$77.52,0.94%,57.56%,"👨‍💻 Software, 🖥️ Internet, 👩‍💻 Tech, 🔒 IT security"
Kia,$26.00 B,South Korea,$65.82,1.53%,33.67%,"🚗 Automakers, 🏭 Manufacturing"
Coal India,$25.95 B,India,$4.21,-0.27%,50.36%,"⛏️ Mining, ⚡ Energy, ⛏️ Coal Mining"
Fanuc,$25.97 B,Japan,$27.44,-2.75%,-81.90%,"⚙️ Machinery manufacturing, 🤖 Robotics, 🏭 Manufacturing"
Marubeni,$25.97 B,Japan,$15.43,-3.11%,35.23%,🏙 Conglomerate
Ecopetrol,$26.15 B,eu Colombia,$12.72,2.83%,37.07%,"🛢 Oil&Gas, ⚡ Energy"
Agnico Eagle Mines,$25.41 B,Canada,$51.24,-2.42%,-1.02%,"⛏️ Mining, ⛏️ Gold mining"
Gree Electric Appliances,$25.84 B,China,$4.59,0.18%,-2.96%,"🔌 Electronics, 🏠 Home & Kitchen Appliances, 🏭 Manufacturing"
Delta Electronics,$25.82 B,Taiwan,$9.94,0.48%,3.43%,"👩‍💻 Tech, 🔌 Electronics, 💻 Tech Hardware"
SSE,$25.90 B,UK,$23.70,0.67%,14.27%,"🔋 Electricity, 🚰 Utility companies, ⚡ Energy"
Edison International,$25.87 B,USA,$67.45,0.21%,3.13%,"🔋 Electricity, 🚰 Utility companies, ⚡ Energy"
Sumitomo,$25.82 B,Japan,$21.14,-1.87%,29.30%,💰 Investment
Discover Financial Services,$25.83 B,USA,$103.30,0.95%,0.36%,💳 Financial services
Deutsche Bank,$25.65 B,Germany,$12.77,1.92%,20.81%,"🏦 Banks, 💳 Financial services, 🇩🇪 DAX"
American Water Works,$25.57 B,USA,$131.35,-0.91%,-15.48%,🚰 Utility companies
Xylem,$25.64 B,USA,$106.38,0.32%,-4.45%,N/A
Tesco,$26.04 B,UK,$3.68,1.66%,34.31%,"🛍️ Retail, 🛒 Supermarket Chains"
Powergrid Corporation of India,$25.50 B,India,$2.74,-0.61%,3.40%,"🔋 Electricity, 🛣️ Infrastructure"
Ferrovial,$25.57 B,Spain,$35.05,0.71%,30.88%,"🏗 Construction, 🛣️ Infrastructure"
Great Wall Motors,$25.42 B,China,$3.63,-0.69%,-19.69%,"🚗 Automakers, 🏭 Manufacturing"
Splunk,$25.44 B,USA,$150.95,-0.04%,73.45%,"👨‍💻 Software, 👩‍💻 Tech"
Canon,$25.48 B,Japan,$25.80,-2.08%,13.81%,"👩‍💻 Tech, 🔌 Electronics, 💻 Tech Hardware"
Roblox,$25.46 B,USA,$40.83,2.43%,27.87%,"🎮 Video games, Entertainment"
ASM International,$24.10 B,Netherlands,$495.04,1.72%,76.06%,"📟 Semiconductors, 👩‍💻 Tech, 👷 Engineering"
Sandvik,$25.50 B,Sweden,$20.33,-1.22%,13.01%,"👷 Engineering, ⚙️ Machinery manufacturing, 🏭 Manufacturing"
Ping An Bank,$25.19 B,China,$1.30,-1.48%,-32.29%,"🏦 Banks, 💳 Financial services"
CBRE Group,$25.20 B,USA,$82.69,0.04%,8.63%,"🏠 Real estate, 💰 Investment"
Willis Towers Watson,$25.05 B,UK,$242.66,-0.02%,-1.26%,🏦 Insurance
West Pharmaceutical,$25.32 B,USA,$342.24,0.31%,45.00%,"💊 Pharmaceuticals, 📦 Packaging"
DSM-Firmenich,$24.95 B,Switzerland,$93.92,0.43%,N/A,🍴 Food
Snap,$24.84 B,USA,$15.09,2.24%,60.53%,"🖥️ Internet, 👩‍💻 Tech"
Telkom Indonesia,$25.15 B,Indonesia,$25.16,0.12%,6.38%,📡 Telecommunication
Keysight,$25.20 B,USA,$144.33,1.72%,-20.28%,"👨‍💻 Software, 👩‍💻 Tech"
HubSpot,$25.26 B,USA,$502.04,2.03%,71.54%,"👨‍💻 Software, 👩‍💻 Tech"
Corning,$24.83 B,USA,$29.11,0.34%,-12.64%,N/A
Naver,$24.94 B,South Korea,$165.68,2.35%,17.37%,"🖥️ Internet, 👩‍💻 Tech"
Formosa Petrochemical,$24.91 B,Taiwan,$2.62,-0.12%,-1.13%,"🛢 Oil&Gas, ⚡ Energy"
Quanta Computer,$24.89 B,Taiwan,$6.46,1.00%,174.89%,N/A
Mahindra & Mahindra,$24.89 B,India,$20.02,-1.42%,29.24%,🚗 Automakers
Coloplast,$24.90 B,Denmark,$110.84,0.95%,-7.82%,Medical devices
AvalonBay Communities,$24.95 B,USA,$175.75,0.21%,3.63%,"🏠 Real estate, 💰 Investment"
Ansys,$24.94 B,USA,$287.20,0.38%,17.28%,"👨‍💻 Software, 👩‍💻 Tech"
KBC,$25.09 B,Belgium,$61.20,1.32%,2.51%,🏦 Insurance
NatWest Group,$24.68 B,UK,$5.61,0.18%,-12.07%,"🏦 Banks, 💳 Financial services"
Adani Power,$24.70 B,India,$6.40,-5.09%,62.44%,"🔋 Electricity, ⚡ Energy"
Telefónica,$24.83 B,Spain,$4.31,-0.23%,21.07%,📡 Telecommunication
Zimmer Biomet,$24.51 B,USA,$117.30,0.01%,-6.79%,Medical devices
JSW Steel,$24.50 B,India,$10.07,2.47%,11.27%,"🔩 Steel producers, 🔩 Steel industry"
Michelin,$24.57 B,France,$34.45,0.28%,25.00%,"Tires, 🇫🇷 CAC 40"
Vodafone,$23.73 B,UK,$8.73,-1.24%,-16.70%,📡 Telecommunication
